Type,Name,Address,Target,Port,String
A,mx.stormfiber.com,61.5.158.179,,,
A,www.stormfiber.com,175.107.196.221,,,
A,webmail.stormfiber.com,124.29.202.132,,,
A,support.stormfiber.com,202.163.118.210,,,
A,smtp.stormfiber.com,124.29.202.132,,,
A,test.stormfiber.com,175.107.196.141,,,
A,beta.stormfiber.com,175.107.192.63,,,
A,api.stormfiber.com,202.163.118.219,,,
A,mail.stormfiber.com,124.29.202.132,,,
A,ns.stormfiber.com,202.163.118.202,,,
A,ns1.stormfiber.com,202.163.118.203,,,
A,staging.stormfiber.com,101.53.244.109,,,
A,my.stormfiber.com,202.163.118.212,,,
A,av.stormfiber.com,202.163.115.12,,,
A,im.stormfiber.com,175.107.192.151,,,
A,webmail2.stormfiber.com,175.107.192.184,,,
A,alpha.stormfiber.com,202.163.118.36,,,
A,speedtest.stormfiber.com,124.29.242.206,,,
A,syslog.stormfiber.com,202.163.101.162,,,
A,reporting.stormfiber.com,202.163.118.217,,,
A,beta1.stormfiber.com,175.107.192.57,,,
A,echo.stormfiber.com,202.163.101.162,,,
A,np.stormfiber.com,202.163.114.74,,,
A,spf.stormfiber.com,203.101.162.195,,,
A,leads.stormfiber.com,203.101.161.123,,,
A,rad.stormfiber.com,202.163.118.211,,,
A,speedtest1.stormfiber.com,202.163.116.242,,,
